age,workclass,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,income,native_country
25,4,7,4,7,3,2,1,0,0,40,0,United-States
38,4,9,2,5,0,4,1,0,0,50,0,United-States
28,2,12,2,11,0,4,1,0,0,40,1,United-States
44,4,10,2,7,0,2,1,7688,0,40,1,United-States
18,0,10,4,0,3,4,0,0,0,30,0,United-States
34,4,6,4,8,1,4,1,0,0,30,0,United-States
29,0,9,4,0,4,2,1,0,0,40,0,United-States
63,6,15,2,10,0,4,1,3103,0,32,1,United-States
24,4,10,4,8,4,4,0,0,0,40,0,United-States
55,4,4,2,3,0,4,1,0,0,10,0,United-States
65,4,9,2,7,0,4,1,6418,0,40,1,United-States
36,1,13,2,1,0,4,1,0,0,40,0,United-States
26,4,9,4,1,1,4,0,0,0,39,0,United-States
58,0,9,2,0,0,4,1,0,0,35,0,United-States
48,4,9,2,7,0,4,1,3103,0,48,1,United-States
43,4,14,2,4,0,4,1,0,0,50,1,United-States
20,7,10,4,8,3,4,1,0,0,25,0,United-States
43,4,9,2,1,5,4,0,0,0,30,0,United-States
37,4,9,6,7,4,4,0,0,0,20,0,United-States
40,4,16,2,10,0,1,1,0,0,45,1,?
34,4,13,2,13,0,4,1,0,0,47,1,United-States
34,4,10,4,8,3,2,0,0,0,35,0,United-States
72,0,4,0,0,1,4,0,0,0,6,0,United-States
25,4,13,4,10,1,4,1,0,0,43,0,Peru
25,4,13,2,10,0,4,1,0,0,40,0,United-States
45,6,9,2,3,0,4,1,7298,0,90,1,United-States
22,4,9,4,1,3,4,1,0,0,20,0,United-States
23,4,9,5,7,4,2,1,0,0,54,0,United-States
54,4,9,2,3,0,4,1,0,0,35,0,United-States
32,6,10,4,10,1,4,1,0,0,60,0,United-States
46,7,10,2,4,0,2,1,7688,0,38,1,United-States
56,6,7,6,8,4,4,0,0,0,50,0,United-States
24,6,13,4,12,1,4,1,0,0,50,0,United-States
23,2,10,2,11,0,4,1,0,0,40,0,United-States
26,4,9,0,4,4,4,0,0,0,40,0,United-States
65,0,9,2,0,0,4,1,0,0,40,0,United-States
36,2,13,2,10,0,4,1,0,0,40,1,United-States
22,4,3,4,9,1,4,1,0,0,50,0,Guatemala
17,4,6,4,7,1,4,1,0,0,40,0,United-States
20,4,9,4,3,3,4,1,0,0,40,0,United-States
65,4,14,2,10,0,4,1,0,0,50,1,United-States
44,5,11,2,12,0,4,1,0,0,45,1,United-States
36,4,9,2,5,0,4,1,0,0,40,0,United-States
29,4,7,2,8,0,4,1,0,0,40,0,United-States
20,7,10,4,5,3,4,1,0,0,32,0,United-States
28,4,11,2,10,5,4,0,0,0,36,1,United-States
39,4,4,2,3,0,4,1,0,0,40,0,Mexico
54,4,10,2,14,0,4,1,3908,0,50,0,United-States
52,4,7,5,9,1,2,0,0,0,18,0,United-States
56,5,9,6,4,1,4,0,0,0,50,0,United-States
18,4,10,4,8,3,4,1,0,0,20,0,United-States
39,4,9,0,6,3,2,1,0,0,40,0,United-States
21,4,10,4,8,3,4,0,0,1721,24,0,United-States
22,4,9,4,8,1,4,1,14084,0,60,1,United-States
38,4,5,3,4,1,4,1,0,0,54,0,Mexico
21,4,10,4,1,3,4,0,0,0,40,0,United-States
63,4,9,2,3,0,4,1,0,0,40,0,United-States
34,2,13,2,4,0,4,1,3103,0,50,1,United-States
42,5,9,2,4,0,4,1,5178,0,50,1,United-States
33,4,9,2,6,0,4,1,0,0,40,0,United-States
30,4,13,4,4,1,4,0,0,0,50,0,United-States
39,4,10,0,12,1,4,1,0,0,40,0,United-States
26,4,14,4,4,1,4,0,0,0,40,0,United-States
33,4,9,4,7,3,4,0,0,0,40,0,United-States
47,2,9,0,1,1,4,0,0,0,40,0,United-States
41,4,13,4,8,1,4,0,0,0,40,0,?
41,5,12,2,3,0,4,1,15024,0,60,1,United-States
19,4,10,4,8,3,4,1,0,0,20,0,United-States
46,4,9,5,14,1,4,1,0,0,40,0,United-States
43,4,9,2,12,0,4,1,0,0,48,0,United-States
55,4,10,2,4,0,4,1,15024,0,45,1,United-States
46,4,11,2,13,0,4,1,0,0,40,0,United-States
30,4,9,2,7,0,4,1,0,0,40,0,Mexico
21,4,10,5,6,1,4,0,0,0,40,0,United-States
46,4,10,2,3,0,3,1,0,0,40,0,Dominican-Republic
17,0,6,4,0,3,4,1,0,0,40,0,United-States
41,4,9,2,7,0,4,1,0,0,50,0,United-States
69,5,9,2,12,0,4,1,0,0,30,0,United-States
50,4,9,2,14,0,4,1,0,0,40,0,United-States
20,4,10,4,1,1,4,0,0,0,40,0,United-States
45,5,10,2,7,0,4,1,0,0,50,0,United-States
23,4,13,4,4,1,4,1,0,0,40,0,United-States
24,4,10,5,8,1,4,1,0,1876,40,0,United-States
44,5,9,2,3,0,4,1,99999,0,50,1,?
31,6,10,2,3,0,4,1,0,0,50,0,United-States
43,4,9,5,7,1,4,0,0,0,44,0,United-States
20,1,7,4,8,3,4,0,0,0,10,0,United-States
55,4,9,2,12,0,4,1,0,0,56,1,United-States
24,1,10,4,2,1,4,1,0,0,40,0,United-States
41,0,14,2,0,5,4,0,7688,0,10,1,United-States
59,4,13,4,4,1,4,0,0,0,25,0,United-States
49,1,4,4,8,1,2,1,0,0,20,0,United-States
33,4,14,2,10,5,4,0,5178,0,10,1,United-States
59,1,13,0,1,1,4,1,0,0,40,0,United-States
34,4,14,4,8,1,0,1,0,0,40,0,United-States
20,4,9,4,6,3,4,1,0,0,40,0,United-States
25,4,13,4,4,3,4,0,0,0,40,0,United-States
49,4,6,2,5,0,4,1,0,0,40,0,United-States
59,4,9,2,14,0,4,1,0,0,40,1,United-States
20,4,9,4,1,1,4,0,0,0,40,0,United-States
51,0,10,2,0,5,4,0,0,0,18,0,United-States
33,4,10,4,1,4,2,0,0,0,35,0,United-States
22,4,10,4,14,3,2,1,0,0,39,0,United-States
58,6,5,6,8,1,4,0,0,0,40,0,United-States
52,2,9,6,1,4,4,0,0,0,28,0,United-States
36,4,6,5,7,1,4,0,0,0,40,0,United-States
41,2,9,2,11,0,4,1,0,0,40,0,United-States
28,4,9,4,14,3,4,1,2597,0,40,0,United-States
19,4,10,4,6,3,2,1,0,0,16,0,United-States
18,4,9,4,8,1,4,0,0,0,28,0,United-States
18,4,9,4,7,3,4,0,0,0,48,0,United-States
28,4,10,2,3,0,4,1,0,0,40,0,United-States
29,4,11,2,4,0,4,1,0,0,40,1,United-States
20,0,9,4,0,3,4,0,0,0,20,0,United-States
40,4,10,2,6,0,4,1,0,0,40,0,United-States
26,4,9,4,6,4,4,1,0,0,40,0,United-States
46,4,9,2,3,0,4,1,0,0,40,0,United-States
23,4,7,4,8,1,4,0,0,0,24,0,United-States
44,4,9,3,1,4,4,0,0,0,40,0,United-States
43,4,13,0,12,4,4,0,0,0,40,1,United-States
31,2,13,0,10,4,4,0,0,0,60,0,United-States
18,4,10,4,12,3,4,0,0,0,25,0,United-States
19,4,10,4,11,3,4,1,0,0,30,0,United-States
41,4,10,0,13,1,4,0,0,0,40,0,United-States
